,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,faanui,PF,2023-02-03 22:34:54,-16.4833,-151.75,14,74,82.16600000000001,7.71
1,dikson,RU,2023-02-03 22:35:46,73.5069,80.5464,100,100,-8.590000000000025,0.78
2,chanika,TZ,2023-02-03 22:35:46,-5.4167,38.0167,100,92,70.79000000000002,0.77
3,ushuaia,AR,2023-02-03 22:34:42,-54.8,-68.3,0,71,48.127999999999965,7.2
4,hirara,JP,2023-02-03 22:35:46,24.8,125.2833,75,73,68.54000000000002,5.14
5,norman wells,CA,2023-02-03 22:35:47,65.282,-126.8329,100,69,-23.49400000000002,2.06
6,mahebourg,MU,2023-02-03 22:35:47,-20.4081,57.7,40,83,82.52599999999998,3.09
7,albany,US,2023-02-03 22:30:01,42.6001,-73.9662,80,45,-6.375999999999991,2.68
8,cape town,ZA,2023-02-03 22:31:42,-33.9258,18.4232,0,75,68.64800000000002,2.06
9,taolanaro,,,,,,,,
10,saint-philippe,RE,2023-02-03 22:35:48,-21.3585,55.7679,56,86,80.45600000000003,4.76
11,hermanus,ZA,2023-02-03 22:35:48,-34.4187,19.2345,0,83,69.08000000000004,4.17
12,paita,PE,2023-02-03 22:35:48,-5.0892,-81.1144,76,76,74.94800000000004,3.5
13,port elizabeth,ZA,2023-02-03 22:35:00,-33.918,25.5701,20,91,72.59000000000003,5.14
14,bluff,NZ,2023-02-03 22:35:49,-46.6,168.3333,26,79,66.12799999999996,5.35
15,new norfolk,AU,2023-02-03 22:35:49,-42.7826,147.0587,100,86,60.56600000000001,2.92
16,hofn,IS,2023-02-03 22:31:48,64.2539,-15.2082,82,71,35.00600000000003,6.45
17,mataura,NZ,2023-02-03 22:35:49,-46.1927,168.8643,4,30,89.79800000000003,1.73
18,vostok,RU,2023-02-03 22:35:50,46.4856,135.8833,85,79,8.690000000000019,3.75
19,qaanaaq,GL,2023-02-03 22:35:50,77.484,-69.3632,24,60,-2.524000000000015,3.44
20,badarganj,BD,2023-02-03 22:35:50,25.674,89.0549,1,34,75.46999999999997,2.04
21,garlasco,IT,2023-02-03 22:35:51,45.1974,8.9238,38,83,48.72200000000004,2.89
